trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.01, 'e': 0.46766642700990924}",25,0,-86.76713997286964,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.46301306831122807}",20,10,-21.899292193720804,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
78,False,"{'a': 0.01, 'e': 0.4584060113052235}",20,11,-18.239517569768843,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.45384479528235583}",20,2,-109.14315987914617,"{0: 13, 1: 0, 2: 1, 3: 2, 4: 2}",1
80,False,"{'a': 0.01, 'e': 0.44932896411722156}",30,21,10.882748342532981,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.01, 'e': 0.4448580662229411}",25,8,-7.2216085218368065,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.44043165450599925}",20,13,-6.510018374433551,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
83,False,"{'a': 0.01, 'e': 0.43604928632153556}",35,13,37.65647899850865,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.43171052342907973}",25,0,-185.5161893533385,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 4}",0
85,False,"{'a': 0.01, 'e': 0.4274149319487267}",25,5,-35.01193675829076,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.4231620823177488}",20,0,-33.53288223384104,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
87,False,"{'a': 0.01, 'e': 0.418951549247639}",25,3,1.6489031419383755,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.4147829116815814}",25,18,-43.05589742775174,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
89,False,"{'a': 0.01, 'e': 0.4106557527523455}",25,11,6.085689182685034,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.4065696597405991}",25,0,-85.70475586905832,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.40252422403363597}",25,12,11.081930305909655,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.39851904108451414}",20,7,-23.720892931312342,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.3945537103716011}",20,6,25.546264816763312,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
